,Student_ID,Dorm_ID
0,0,3
1,1,0
2,2,2
3,3,11
4,4,10
5,5,14
6,6,16
7,7,7
8,8,10
9,9,4
10,10,1
11,11,2
12,12,2
13,13,7
14,14,0
15,15,14
16,16,2
17,17,6
18,18,4
19,19,4
20,20,9
21,21,0
22,22,13
23,23,1
24,24,11
25,25,10
26,26,12
27,27,6
28,28,5
29,29,2
30,30,1
31,31,2
32,32,8
33,33,0
34,34,13
35,35,13
36,36,9
37,37,15
38,38,1
39,39,6
40,40,13
41,41,4
42,42,2
43,43,6
44,44,0
45,45,9
46,46,2
47,47,10
48,48,4
49,49,6
50,50,0
51,51,6
52,52,1
53,53,1
54,54,3
55,55,9
56,56,10
57,57,5
58,58,1
59,59,4
60,60,15
61,61,11
62,62,0
63,63,3
64,64,0
65,65,4
66,66,5
67,67,8
68,68,10
69,69,0
70,70,10
71,71,12
72,72,9
73,73,9
74,74,9
75,75,6
76,76,8
77,77,4
78,78,14
79,79,15
80,80,7
81,81,0
82,82,10
83,83,0
84,84,4
85,85,16
86,86,1
87,87,11
88,88,15
89,89,13
90,90,15
91,91,8
92,92,11
93,93,11
94,94,11
95,95,7
96,96,7
97,97,0
98,98,5
99,99,3
